cod_ibge,E,X,M,IRBI,PH_x,PH_y,Ph_x,Ph_y,R_x,R_y,Angulo,Odu,Theta,S_m,S_potencial,S_dispersiva,Regime
1304062,0.0008491482994381593,0.5,0.0,0.17533965931977524,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1304104,0.0002732001722778443,0.5,0.0,0.17510928006891113,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1304203,0.0014435883698299633,0.5,0.0,0.17557743534793196,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1304237,0.00019211344521737766,0.5,0.0,0.17507684537808693,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1304260,0.00024223790190488212,0.5,0.0,0.17509689516076193,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1304302,0.00021077770646548774,0.5,0.0,0.17508431108258618,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1304401,0.00025571570800242703,0.5,0.0,0.17510228628320096,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1400027,0.00029534250883075653,0.5,0.0,0.1751181370035323,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1400050,0.0007178578282592276,0.5,0.0,0.17528714313130367,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1400100,0.016061464208493425,0.5,0.0,0.18142458568339737,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1400159,0.0007241025063216794,0.5,0.0,0.17528964100252867,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1400175,0.0004068502374021615,0.5,0.0,0.17516274009496086,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1400209,0.0005386227761613332,0.5,0.0,0.17521544911046452,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1400233,0.00027022953653118957,0.5,0.0,0.17510809181461245,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1400282,0.00022647556062992764,0.5,0.0,0.17509059022425197,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1400308,0.00048630364338484106,0.5,0.0,0.17519452145735392,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1400407,0.00026397640114276866,0.5,0.0,0.1751055905604571,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1400456,0.0003935405206582529,0.5,0.0,0.17515741620826328,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
